TF-IDF,TF-IDF_Z,sub_indicator
0.01454233151910626,43.111857270062885,reading recovery
0.011569094393947712,34.14973031302358,reading comprehension
0.011066264828156045,32.634068353792,reading achievement
0.0096761088507139,28.44376874583214,reading intervention
0.009143368929470971,26.837949025345623,reading instruction
0.00889737746039686,26.096465355060413,reading program
0.008371378959847879,24.51096606835926,direct instruction
0.00829410942151314,24.278055142214804,phonological awareness
0.007936357446822561,23.199695602984477,control group
0.007408095115078219,21.607372527352915,school district
0.007040835934203343,20.500355741746425,reading fluency
0.006924863652812987,20.15078446116367,elementary school
0.0068515150301397595,19.929692216969933,randomly assigned
0.006522221381477915,18.937113636377653,significant difference
0.006517044408205589,18.921508862938225,learning disability
0.006312968302215664,18.306369237745237,statistically significant
0.0063042274979461825,18.280022130443612,contains table
0.006215410640976788,18.012304516752618,middle school
0.00613122103960148,17.758534681308433,reading skill
0.005930202332831559,17.152610869995932,high school
0.005876249619583772,16.989983052082614,english language
0.005838736489327054,16.876908506809425,student achievement
0.005602542929939536,16.164958340522887,student learning
0.005602157724205798,16.1637972280569,struggling reader
0.0053801059513560135,15.494474165164872,word reading
0.00534469391485984,15.38773287493929,study examined
0.005340257460237786,15.374360221535513,student reading
0.005174842079503291,14.875754297963077,school student
0.005113895874248605,14.692046236328691,grade student
0.005079771888386965,14.589187473068787,school year
