TF-IDF,TF-IDF_Z,sub_indicator
0.08229400035224847,24.15804368369871,student
0.051035616763485406,14.807437480331476,school
0.04796953255219936,13.890251664734663,mathematics
0.045311049133760085,13.094995202626897,teacher
0.04048605160125439,11.651649556472046,math
0.03642328131899413,10.436315919776403,problem
0.03590208049359457,10.280404349450253,program
0.034974663777525554,10.002977704091059,intervention
0.03425039897471201,9.786321748774691,curriculum
0.03292977847251855,9.391272458236736,effect
0.03278676923683156,9.348492797460091,learning
0.032565652244732554,9.282348049056203,study
0.031877900553306894,9.076614594734755,instruction
0.031758951579391716,9.041032300141145,achievement
0.030867167659114722,8.774264818920432,group
0.023839775759258754,6.672096800356996,strategy
0.02234051577821478,6.223609448495025,year
0.022215809647719097,6.186304962992772,result
0.022204891199012908,6.183038827560231,child
0.022080839009163813,6.145929961305188,grade
0.02124546821187553,5.8960378535749705,control
0.020370673308164822,5.634352452278278,classroom
0.020290235764988663,5.610290434225719,performance
0.019625239499732872,5.411364018678366,solving
0.018850385937515705,5.1795749850261705,test
0.018186716977608104,4.981045618468485,fraction
0.017833223275383375,4.875301813914815,impact
0.017726380598151046,4.843340986584251,mathematical
0.017545328846339827,4.789181319984438,instructional
0.017456134540817826,4.762499811513256,knowledge
0.0173251320289316,4.723311831852644,teaching
0.017146358530983632,4.669833680170135,elementary
0.016989233801347196,4.622831522573956,skill
0.016945064782357487,4.609618839909511,treatment
0.016815136478588753,4.570752197948868,number
0.01628027821769536,4.410755154018872,disability
0.016265922479728384,4.406460790808864,practice
0.016255288375732046,4.403279714010281,condition
0.015555621105787568,4.193981843694692,algebra
0.015552106025257806,4.19293034550338,score
0.015170562886861354,4.078795856539447,seed
0.01473423069677774,3.948271817388832,contains
0.014143120977274284,3.7714477601126695,project
0.014066152509547836,3.7484234783310195,measure
0.013994384320541092,3.7269548034897477,level
0.013993829286208515,3.726788770992944,development
0.013856231360199608,3.685627844777557,middle
0.013803269297151559,3.6697848184139596,high
0.013667733124548765,3.629240643353803,significant
0.013644907733741952,3.6224126754178925,implementation
0.0136137971843568,3.6131062922120907,research
0.013565326044774001,3.5986066768631346,table
0.01352033475515114,3.5851480208628845,use
0.013482140581230236,3.5737226482557842,effectiveness
0.013454926283932299,3.5655817865758523,method
0.013388005398592247,3.545563130018689,experimental
0.013384148215396227,3.544409295527606,data
0.01332273031022834,3.526036795765106,evaluation
0.013217055213262678,3.4944252373995686,outcome
0.01313012022236541,3.4684195783780347,assigned
0.012853119849038181,3.385557922982017,assessment
0.012755011042334704,3.35620973823147,comparison
0.012641035413339663,3.3221151657950108,education
0.012577977876719503,3.3032521880784826,difference
0.012301418166243161,3.220522352191794,compared
0.012186884787009038,3.186260934824576,academic
0.012057481712631341,3.1475514095359474,model
0.011829355950040182,3.0793100635055146,report
0.011784362566023878,3.065850780990197,analysis
0.011640005080512925,3.022667805911266,understanding
0.011604027739027129,3.0119055746678476,district
0.011582558833488257,3.005483384577908,word
0.011561155805032983,2.999080900902563,conceptual
0.01151871014532832,2.9863837424646227,transfer
0.011362622397803356,2.9396917868127246,problemsolving
0.0111986638818286,2.890645376200515,effective
0.010897612356399139,2.8005890796802477,class
0.010805058567379856,2.772902618181325,tutoring
0.01065071967265337,2.7267338128637935,approach
0.01065057312873978,2.7266899758424836,significantly
0.010596279396467978,2.710448595083206,improved
0.010589819927518986,2.708516315051726,solution
0.010574760623809944,2.7040114877857766,state
0.010414738071877233,2.65614247809973,different
0.010335908481719764,2.6325614617416,gain
0.010280499395195807,2.6159864348627284,finding
0.010250512623716072,2.6070162176209717,positive
0.010215115382588992,2.5964275171040345,randomly
0.009905824857551192,2.503906613268789,childrens
0.00989629332027092,2.5010553573371617,indicated
0.009887179526443015,2.498329064825541,posttest
0.009805388882300802,2.473862281304191,higher
0.009793755352891904,2.4703822372402047,cognitive
0.009727958649638001,2.4506998675533653,received
0.009659837302363066,2.430322105836994,grader
0.009621690306372346,2.4189108459956863,course
0.009321805775816058,2.3292036433263346,example
0.00927236227941341,2.3144131579877083,standard
0.009266104148530277,2.312541106053508,experiment
0.009172415452623806,2.2845151494764266,traditional
0.009123462924674992,2.269871532022284,numerical
0.008953718963086747,2.2190944681442355,activity
0.008933142954755583,2.212939378563369,reference
0.008911968251802486,2.206605195983984,procedural
0.008906690005572473,2.205026265909077,training
0.008842646465826082,2.1858683360584283,improve
0.008737031613013651,2.1542747990774997,greater
0.008650349522589838,2.1283447924878716,concept
0.008604134748800807,2.114520144477785,attitude
0.008479507845434846,2.077239358911537,examined
0.008477055726842765,2.076505834247557,information
0.00841771209879944,2.0587538319747423,ability
0.008307853441328426,2.025890806888207,showed
0.008259868173298872,2.01153653474124,randomized
0.008216988743249023,1.9987096186122466,new
0.008181454469250166,1.988079926198935,evidence
0.008104988684828514,1.9652060166722929,better
0.008080440105041192,1.9578625754546317,figure
0.008078041848385818,1.9571451630044538,based
0.008043102532812131,1.9466934459469485,paper
0.008041819500468143,1.9463096407459934,included
0.008032120344992896,1.9434082436504996,present
0.008020050858089097,1.9397977876333596,reasoning
0.00796766918217571,1.9241283777821554,management
0.00794510973785863,1.9173799648523315,reading
0.007898291964026992,1.9033749359238574,type
0.007883196663567203,1.898859340620595,support
0.007876639750291403,1.8968979111763138,university
0.0077982583921871835,1.8734509785722515,professional
0.007789469808818735,1.8708219692400683,comparing
0.007778289900128472,1.8674776208909156,feedback
0.007707003805427816,1.8461531593291411,science
0.007623897990641269,1.8212929567830847,discussed
0.007607357796417821,1.8163451371918544,online
0.007602547437184039,1.8149061704338936,urban
