TF-IDF,TF-IDF_Z,sub_indicator
0.08246807417614274,27.093344060588468,reading
0.06968090859335617,22.834568232369964,student
0.05003686989594023,16.29210527359181,school
0.04912216500844829,15.987462071813933,program
0.04357741724381247,14.140779349148062,intervention
0.04033102188428924,13.059564751865482,instruction
0.03652718180434021,11.792692740080252,child
0.03400041064416638,10.951149563782154,teacher
0.03358884826898582,10.814078382223151,group
0.0320486516587352,10.301114656839845,study
0.03177791824151903,10.210946673507923,effect
0.02775688106227871,8.871736992328149,writing
0.02766013081402717,8.839514243982537,grade
0.027344811142275976,8.73449677255607,achievement
0.0268340945360161,8.564402194228466,comprehension
0.02633284919837236,8.397462029565391,strategy
0.025941350661734412,8.26707312564277,literacy
0.0250255278272813,7.962057590726273,skill
0.024432564414412612,7.764570647009633,language
0.022560070194408973,7.140934934231716,learning
0.021507088690125593,6.790238593516467,word
0.021061120291827395,6.641708458161185,classroom
0.02077670663687248,6.546984260597982,control
0.019670967313371996,6.178716885568938,year
0.019330812661215148,6.065428103853955,result
0.01900009536561519,5.955282441364772,reader
0.018940801785422463,5.935534666577743,impact
0.018487047505423442,5.784411437031715,recovery
0.018082663479527503,5.649731010501412,measure
0.017850231932328146,5.572319495923032,significant
