TF-IDF,TF-IDF_Z,sub_indicator,freq_count,term_rank
0.08229400035224847,24.15804368369871,student,1097,1
0.051035616763485406,14.807437480331476,school,626,2
0.045311049133760085,13.094995202626897,teacher,453,3
0.04796953255219936,13.890251664734663,mathematics,449,4
0.032565652244732554,9.282348049056203,study,393,5
0.03590208049359457,10.280404349450253,program,349,6
0.04048605160125439,11.651649556472046,math,322,7
0.031758951579391716,9.041032300141145,achievement,292,8
0.03292977847251855,9.391272458236736,effect,285,9
0.030867167659114722,8.774264818920432,group,250,10
0.03425039897471201,9.786321748774691,curriculum,230,11
0.034974663777525554,10.002977704091059,intervention,229,12
0.03278676923683156,9.348492797460091,learning,215,13
0.031877900553306894,9.076614594734755,instruction,215,14
0.02234051577821478,6.223609448495025,year,208,15
0.03642328131899413,10.436315919776403,problem,199,16
0.022080839009163813,6.145929961305188,grade,198,17
0.022215809647719097,6.186304962992772,result,178,18
0.017833223275383375,4.875301813914815,impact,172,19
0.02124546821187553,5.8960378535749705,control,150,20
0.022204891199012908,6.183038827560231,child,148,21
0.020290235764988663,5.610290434225719,performance,144,22
0.018850385937515705,5.1795749850261705,test,143,23
0.0,0.0,2,137,24
0.0,0.0,1,131,25
0.0,0.0,3,125,26
0.020370673308164822,5.634352452278278,classroom,124,27
0.015552106025257806,4.19293034550338,score,122,28
0.01473423069677774,3.948271817388832,contains,110,29
0.0136137971843568,3.6131062922120907,research,107,30
0.023839775759258754,6.672096800356996,strategy,106,31
0.013384148215396227,3.544409295527606,data,106,32
0.013565326044774001,3.5986066768631346,table,106,33
0.016265922479728384,4.406460790808864,practice,104,34
0.013994384320541092,3.7269548034897477,level,103,35
0.016989233801347196,4.622831522573956,skill,102,36
0.017456134540817826,4.762499811513256,knowledge,101,37
0.017146358530983632,4.669833680170135,elementary,101,38
0.0173251320289316,4.723311831852644,teaching,98,39
0.013667733124548765,3.629240643353803,significant,98,40
0.017545328846339827,4.789181319984438,instructional,96,41
0.013644907733741952,3.6224126754178925,implementation,95,42
0.011829355950040182,3.0793100635055146,report,94,43
0.01352033475515114,3.5851480208628845,use,94,44
0.016255288375732046,4.403279714010281,condition,94,45
0.011784362566023878,3.065850780990197,analysis,93,46
0.016815136478588753,4.570752197948868,number,93,47
0.014066152509547836,3.7484234783310195,measure,91,48
0.0,0.0,4,91,49
0.01313012022236541,3.4684195783780347,assigned,89,50
